Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Region,longitude,latitude
Uttarakhand, 31-07-2021, M,2.13,1686888,28.66,North,30.0668,79.0193
Uttarakhand, 31-08-2021, M,6.33,1949057,34.53,North,30.0668,79.0193
West Bengal, 31-01-2021, M,4.83,25877979,48.54,East,22.9868,87.855
West Bengal, 28-02-2021, M,6.35,26281435,50,East,22.9868,87.855
West Bengal, 31-03-2021, M,7.68,25044372,48.23,East,22.9868,87.855
West Bengal, 30-04-2021, M,7.49,23876542,45.8,East,22.9868,87.855
West Bengal, 31-05-2021, M,21.81,18987650,43,East,22.9868,87.855
West Bengal, 30-06-2021, M,25.56,19779606,46.95,East,22.9868,87.855
West Bengal, 31-07-2021, M,6.59,24573809,46.39,East,22.9868,87.855
West Bengal, 31-08-2021, M,6.62,24494680,46.16,East,22.9868,87.855
